,title,rating,reviews,type,address,serviceOptions,gpsCoordinates,website,phone
28,Music Masti School of Performing Arts,4.7,61,Music school,BEHIND Samta Shopping Arcade,,"{""latitude"":""21.2470073"",""longitude"":""81.621687""}",https://music-masti-school-of-performing-arts.business.site/?m=true,09669152900
37,MADMOvES - The Fitness Studio,5.0,9,Fitness center,"1, Jalvihar Colony Rd, opp. Rotary Club",,"{""latitude"":""21.2402667"",""longitude"":""81.6573366""}",http://www.instagram.com/madmoves.tfs,08881119255
44,Yoga Plus,4.6,11,Yoga studio,Shayam Mandir Marg,On-site servicesOnline classes,"{""latitude"":""21.2460242"",""longitude"":""81.6184619""}",http://www.yogaplus.co.in/,09826725242
47,Neel Fitness & Sports,5.0,7,Gym,"SHOP.NO:03, GROUND FLOOR,PITHALIA PLAZA, KK Rd",,"{""latitude"":""21.2538995"",""longitude"":""81.6357582""}",https://neel-fitness-sports.business.site/?utm_source=gmb&utm_medium=referral,06109481777
48,Kris Gethin Gyms Raipur,4.7,139,Gym,"6th Floor,Pithalia Plaza",,"{""latitude"":""21.2539236"",""longitude"":""81.6357302""}",https://www.gethingyms.com/raipur/,08224872222
49,The Classical Yoga,5.0,100,Yoga studio,"The Classical Yoga, Pagariya Complex, Bus Stand, above Shop no. 6",On-site servicesOnline classes,"{""latitude"":""21.2515944"",""longitude"":""81.6463814""}",http://www.theclassicalyoga.com/,08109696955
51,Janghel Health Club,3.6,109,Gym,"Pahadi Chowk, Lodhipara Road",,"{""latitude"":""21.2646309"",""longitude"":""81.6234029""}",,09300793379
52,Tobacco Nasha Mukti Kendra,3.8,10,Gym,6JMQ+VHC,,"{""latitude"":""21.2346946"",""longitude"":""81.6388772""}",,08810088100
54,Boogie Bounce,5.0,1,Fitness center,"International Swimming Pool Near Nalanda Parisar, Great Eastern Rd",,"{""latitude"":""21.2462306"",""longitude"":""81.6073865""}",https://boogiebounce.com/,09084155555
58,Dr. Muhammad Hijamah Cupping and Cosmetic Studio,4.9,56,Wellness center,near Quick Heal Physiotherapy Raja Talab,,"{""latitude"":""21.2449391"",""longitude"":""81.649012""}",https://hijamah-cupping-therapy-raipur.business.site/,08319876071
60,Yog Shubhi,5.0,42,Yoga instructor,"talab, Kankali",On-site servicesOnline classes,"{""latitude"":""21.2365995"",""longitude"":""81.6273128""}",https://shubh-fitness-fitness-center.business.site/?utm_source=gmb&utm_medium=referral,08319927722
61,Mrityunjay Yoga - Best Yoga Centre in Raipur,4.8,61,Yoga studio,"FF-14,15, Subhash Stadium",,"{""latitude"":""21.2391852"",""longitude"":""81.6427642""}",https://www.mrityunjayyoga.in/,07000428900
63,Mahendra Auto Center,,,Gym,7J2H+GVR,,"{""latitude"":""21.2513581"",""longitude"":""81.6296302""}",,07804883830
64,YOGSHALA by Urmal,4.9,27,Yoga studio,"3rd Floor, Ashtavinayak Arcade",On-site servicesOnline classes,"{""latitude"":""21.2423615"",""longitude"":""81.6693093""}",http://www.yogabyurmal.com/,07000430500
65,HUSSAIN GYM SERVICE,5.0,46,Gym,"TATEYAPARA CHOUK, Great Eastern Rd",On-site services,"{""latitude"":""21.2408111"",""longitude"":""81.6303228""}",,08889480505
67,Jai Satnam Vyayam Shala,4.9,31,Gym,Gym,,"{""latitude"":""21.2613132"",""longitude"":""81.6259183""}",,07974295532
68,Gear Up Fitness Centre | Gym in Raipur | Fitness Centre in Raipur,4.7,460,Gym,SH 9,On-site services,"{""latitude"":""21.2667627"",""longitude"":""81.6638967""}",http://gearupfitness.co.in/,07893300440
69,G5 Fitness & Academy,4.5,313,Gym,"3rd Shyam Plaza, T-5, Pandri Rd","""... the great option around location . It will get you impressive results""","{""latitude"":""21.24937"",""longitude"":""81.645908""}",https://g5fit.com/,07509685515
74,Buff Up Gym,3.5,22,Gym,"6JP7+GM7, Mahadev Ghat Rd","""Best gyms near location Ashwini Nagar the trainers are very good ...""","{""latitude"":""21.2362933"",""longitude"":""81.6141791""}",,08962512322
77,Nutrichage Wellness Point,,,Gym,"6JVP+C53, Jaistambh Chowk",,"{""latitude"":""21.2435093"",""longitude"":""81.6354333""}",http://www.nutricharge.in/,08770333458
78,The Maxx Fitness Centre..khamtrai,3.5,53,Gym,"2nd Floor, GT Complex",,"{""latitude"":""21.2765218"",""longitude"":""81.6363655""}",,07898244992
79,The Yoga Institute Raipur,4.8,76,Yoga studio,near Vidya hospital,On-site servicesOnline classes,"{""latitude"":""21.2491724"",""longitude"":""81.6613983""}",https://theyogainstituteraipur.com/,09752550490
81,Aarogya Mandir,4.8,49,Yoga studio,"25, Shala Marg",On-site servicesOnline classes  Book online,"{""latitude"":""21.248662"",""longitude"":""81.6153849""}",http://aarogyamandir.org/,07772977729
88,Alfa Wellness,4.4,61,Wellness center,"C-114, near Gujrati School",,"{""latitude"":""21.260081"",""longitude"":""81.64641""}",https://www.alfawellness.in/,07508789000
