"title","rating","reviews","type","address","description","serviceOptions","gpsCoordinates","placeUrl","dataId","website"
"Annu girls Hostel","5.0","7","Hostel","P-26, near jain mandir","083499 14422","""1-Very very clean hostel.""","{""latitude"":""21.2238178"",""longitude"":""81.6593557""}","https://www.google.com/maps/place/Annu+girls+Hostel/data=!4m7!3m6!1s0x3a28ddfd3706ebf5:0x4696a4081574852!8m2!3d21.2238178!4d81.6593557!16s%2Fg%2F11j4y5g4dh!19sChIJ9esGN_3dKDoRUkhXgUBqaQQ?authuser=0&hl=en&rclk=1","0x3a28ddfd3706ebf5:0x4696a4081574852",
"Anshika Home PG","5.0","2","Backpacker Hostel","C-1/27/7","094252 04132","","{""latitude"":""21.2255441"",""longitude"":""81.6605459""}","https://www.google.com/maps/place/Anshika+Home+PG/data=!4m7!3m6!1s0x3a28dde5ecf21261:0x1cde50587716846d!8m2!3d21.2255441!4d81.6605459!16s%2Fg%2F11k9p2vph9!19sChIJYRLy7OXdKDoRbYQWd1hQ3hw?authuser=0&hl=en&rclk=1","0x3a28dde5ecf21261:0x1cde50587716846d","https://www.anshikahomekitchen.com/"
"Hostel to stay",,,"Backpacker Hostel","6M82+87C",,"","{""latitude"":""21.2158072"",""longitude"":""81.6506535""}","https://www.google.com/maps/place/Hostel+to+stay/data=!4m7!3m6!1s0x3a28dd66f34e1cf9:0xc148871e4bc87d08!8m2!3d21.2158072!4d81.6506535!16s%2Fg%2F11tx6w2cxl!19sChIJ-RxO82bdKDoRCH3ISx6HSME?authuser=0&hl=en&rclk=1","0x3a28dd66f34e1cf9:0xc148871e4bc87d08",
"SC ST Boys Hostel Campus Pensionbada","4.1","73","Student housing center","Pension Bada Rd",,"","{""latitude"":""21.2304365"",""longitude"":""81.6484889""}","https://www.google.com/maps/place/SC+ST+Boys+Hostel+Campus+Pensionbada/data=!4m7!3m6!1s0x3a28dda876e611ff:0xf6c72318ba9922d3!8m2!3d21.2304365!4d81.6484889!16s%2Fg%2F11ckqrrjc9!19sChIJ_xHmdqjdKDoR0yKZuhgjx_Y?authuser=0&hl=en&rclk=1","0x3a28dda876e611ff:0xf6c72318ba9922d3",
"KK Girls Hostel","3.9","23","Girl's Hostel","new rajendra nagar near govind sarang complex","Closed ⋅ Opens 6 am Sat  072249 75099","""This hostel is best for students or job person""","{""latitude"":""21.2244829"",""longitude"":""81.66069""}","https://www.google.com/maps/place/KK+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd36d356b1bb:0xa6d5411eddef7b4c!8m2!3d21.2244829!4d81.66069!16s%2Fg%2F11nrwhjn8t!19sChIJu7FW0zbdKDoRTHvv3R5B1aY?authuser=0&hl=en&rclk=1","0x3a28dd36d356b1bb:0xa6d5411eddef7b4c",
"Holy Cross Womens Hostel","2.0","1","Working Women's Hostel","6MP3+VPG",,"","{""latitude"":""21.2371833"",""longitude"":""81.6543251""}","https://www.google.com/maps/place/Holy+Cross+Womens+Hostel/data=!4m7!3m6!1s0x3a28dda7c61ccf63:0xdf8c96089fc67621!8m2!3d21.2371833!4d81.6543251!16s%2Fg%2F11rxmdb5l2!19sChIJY88cxqfdKDoRIXbGnwiWjN8?authuser=0&hl=en&rclk=1","0x3a28dda7c61ccf63:0xdf8c96089fc67621",
"Vaachi girl's hostel","4.4","20","Girl's Hostel","Sangam Chowk",,"""Amazing hostel and owner have good nature , highly recommended !!""","{""latitude"":""21.2154772"",""longitude"":""81.6471916""}","https://www.google.com/maps/place/Vaachi+girl%27s+hostel/data=!4m7!3m6!1s0x3a28ddb6345f67e5:0xa2b0f1e46792e0da!8m2!3d21.2154772!4d81.6471916!16s%2Fg%2F11sh156llm!19sChIJ5WdfNLbdKDoR2uCSZ-TxsKI?authuser=0&hl=en&rclk=1","0x3a28ddb6345f67e5:0xa2b0f1e46792e0da",
"#Boys Hostel","4.0","2","Hostel","P-2B, Ring Road No. 1, near Jagarnath Mandir","Open ⋅ Closes 6 pm  097553 12230","","{""latitude"":""21.2200147"",""longitude"":""81.6532053""}","https://www.google.com/maps/place/%23Boys+Hostel/data=!4m7!3m6!1s0x3a28ddef542adfc5:0x46d4c221eb0c8cb!8m2!3d21.2200147!4d81.6532053!16s%2Fg%2F11q4c673rt!19sChIJxd8qVO_dKDoRy8iwHiJMbQQ?authuser=0&hl=en&rclk=1","0x3a28ddef542adfc5:0x46d4c221eb0c8cb",
"Sharma Girls And Boys Hostel","4.3","91","Hostel","Sharma Hostel","Open 24 hours  091659 09999","""Very nice hostel, supportive wardens""","{""latitude"":""21.2162487"",""longitude"":""81.6470708""}","https://www.google.com/maps/place/Sharma+Girls+And+Boys+Hostel/data=!4m7!3m6!1s0x3a28dc55c2f5ebeb:0x7dbad00daad22fe2!8m2!3d21.2162487!4d81.6470708!16s%2Fg%2F11fy4v8zg3!19sChIJ6-v1wlXcKDoR4i_Sqg3Qun0?authuser=0&hl=en&rclk=1","0x3a28dc55c2f5ebeb:0x7dbad00daad22fe2",
"your-space Raipur",,,"Youth Hostel","Pujari Complex, your-space SHBH, behind axis bank","084477 07093","","{""latitude"":""21.2225634"",""longitude"":""81.6482456""}","https://www.google.com/maps/place/your-space+Raipur/data=!4m7!3m6!1s0x3a28dd1af8f77147:0x12dce61039853fb4!8m2!3d21.2225634!4d81.6482456!16s%2Fg%2F11kjg35zqr!19sChIJR3H3-BrdKDoRtD-FORDm3BI?authuser=0&hl=en&rclk=1","0x3a28dd1af8f77147:0x12dce61039853fb4","http://www.your-space.in/"
"Arihant darshan girls hostel",,,"Backpacker Hostel","6J8X+WP2",,"","{""latitude"":""21.2172615"",""longitude"":""81.6492804""}","https://www.google.com/maps/place/Arihant+darshan+girls+hostel/data=!4m7!3m6!1s0x3a28dd6fcb741613:0x10fa7bb7e622397!8m2!3d21.2172615!4d81.6492804!16s%2Fg%2F11tx5fk63t!19sChIJExZ0y2_dKDoRlyNifrunDwE?authuser=0&hl=en&rclk=1","0x3a28dd6fcb741613:0x10fa7bb7e622397",
